,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
be65ae81-a8af-40de-96fd-fbe20a62315c,3,1646.62,0,112 days 20:40:00.000000000,139 days 23:55:26.000000000,7/22/2016 15:17,8/5/2016,3,3/7/2017 20:07,9 days 01:05:08.666666666
3c607361-d64f-454e-ad8b-411a02d64fad,1,546.57,0,113 days 16:17:24.000000000,113 days 16:17:24.000000000,3/2/2017 23:05,3/7/2017,1,3/7/2017 0:29,0 days 00:00:00.000000000
18fc67fb-1e97-411b-bffe-55fdca7dda87,1,657.04,0,113 days 19:29:22.000000000,113 days 19:29:22.000000000,3/2/2017 23:05,3/6/2017,1,3/6/2017 21:17,0 days 00:00:00.000000000
7dafca99-f495-4cc2-a786-0e8b77383f23,1,456.22,0,113 days 19:30:21.000000000,113 days 19:30:21.000000000,3/2/2017 23:28,3/6/2017,1,3/6/2017 21:16,0 days 00:00:00.000000000
b1998f47-9a77-4b58-ab3a-f25d578e980b,1,484.51,0,113 days 19:31:30.000000000,113 days 19:31:30.000000000,3/2/2017 23:34,3/6/2017,1,3/6/2017 21:15,0 days 00:00:00.000000000
c1222f0f-5ffd-41b4-a30c-e582f359ce75,2,1324.32,0,114 days 02:46:51.000000000,121 days 00:26:49.000000000,6/2/2016 14:54,6/24/2016,2,3/6/2017 14:00,3 days 10:49:59.000000000
75812f55-7714-49f2-820f-f4a0b8568f6f,0,46.15,2,115 days 05:12:34.000000000,374 days 04:07:32.000000000,5/28/2016 5:39,6/29/2016,2,3/5/2017 11:34,129 days 11:27:29.000000000
ce80209f-da6a-4689-a8f5-412c6cdbbafe,0,229.35,2,117 days 00:12:26.000000000,117 days 00:26:01.000000000,11/5/2016 13:18,4/27/2017,2,3/3/2017 16:34,0 days 00:06:47.500000000
b4a2ce05-0c4c-425e-b7e4-d7a8b744c2ac,3,248.22,0,117 days 14:40:22.000000000,135 days 02:14:32.000000000,1/20/2017 20:51,3/6/2017,3,3/3/2017 2:06,5 days 19:51:23.333333333
41b42a8b-276d-40bf-bd4b-c0df0bb24c6b,0,26.65,1,120 days 13:16:45.000000000,120 days 13:16:45.000000000,5/26/2016 18:49,5/26/2016,1,2/28/2017 3:30,0 days 00:00:00.000000000
ba9e201c-8268-422d-9907-a2588241bd59,1,426.78,0,120 days 18:20:23.000000000,120 days 18:20:23.000000000,6/19/2016 12:50,7/25/2016,1,2/27/2017 22:26,0 days 00:00:00.000000000
c04d3893-2416-48e7-96c8-e5240ef1dc09,0,25.04,1,120 days 22:55:17.000000000,120 days 22:55:17.000000000,1/4/2017 0:05,2/27/2017,1,2/27/2017 17:51,0 days 00:00:00.000000000
6b656bcd-9277-44ae-901e-ffdb63a8c705,0,6,1,122 days 17:24:03.000000000,122 days 17:24:03.000000000,1/13/2017 18:35,4/11/2017,1,2/25/2017 23:23,0 days 00:00:00.000000000
048c2852-e5d4-4d77-b1c4-f1bcee03626d,2,300.59,0,125 days 09:44:48.000000000,126 days 21:52:17.000000000,1/30/2017 19:29,3/2/2017,2,2/23/2017 7:02,0 days 18:03:44.500000000
db74d081-a4cd-44e3-9f23-5aa674724924,0,11.58,1,125 days 17:55:17.000000000,125 days 17:55:17.000000000,12/21/2016 10:25,2/22/2017,1,2/22/2017 22:51,0 days 00:00:00.000000000
8a74aef6-33f7-4901-bc41-1ff598602b7d,1,767.97,0,126 days 18:45:51.000000000,126 days 18:45:51.000000000,8/31/2016 21:42,8/31/2016,1,2/21/2017 22:01,0 days 00:00:00.000000000
c0142034-f4de-4f4e-8058-8ff47258a036,2,191.11,0,127 days 18:08:02.000000000,353 days 23:53:36.000000000,5/25/2016 1:50,7/9/2016,2,2/20/2017 22:39,113 days 02:52:47.000000000
accf20f1-0678-48e8-b426-2143d9232437,0,31.55,1,131 days 11:45:23.000000000,131 days 11:45:23.000000000,2/11/2017 20:18,2/17/2017,1,2/17/2017 5:01,0 days 00:00:00.000000000
24db3ba2-6c5f-43af-ad40-34302070f988,0,6,1,131 days 17:13:01.000000000,131 days 17:13:01.000000000,2/15/2017 22:34,2/16/2017,1,2/16/2017 23:34,0 days 00:00:00.000000000
