,date_active
,max
user_id,
4397bfd1-3b9d-4d1f-9d41-00e9e15eb3de,5/27/2016
439cd4a3-9c85-47d7-a678-b367930817d6,4/10/2016
43a6c62c-9253-426b-a330-89ed029f0fa7,5/23/2016
43cf96e9-da05-4342-888f-c6bba79158e1,6/22/2017
43d5634c-a2e5-4a96-9cd8-89c16d9dac1b,6/15/2016
44071c87-fa27-4b2a-9142-c4c4a40bd6f5,6/17/2016
44465bbd-3116-46ce-ae0e-651a4561c977,5/31/2016
444c9938-0f3e-4da0-a93f-3afb56c4735f,7/7/2016
4490ffad-a944-47b0-801a-83cbe36b07bd,8/16/2016
44a6163b-74e5-49f3-8446-dd32b2c9449a,8/18/2016
44b84f59-d7cf-42b8-926c-df0fdece2a37,6/20/2016
44bec7f6-3863-4883-b051-031dd065f8e0,9/1/2016
44f988a2-da02-4cf1-ac89-ee6d93ad11f7,3/29/2016
45351ae7-2cca-4925-8205-02f06c6ce049,7/21/2016
453d0b16-afe2-48e5-ac57-d2715e927b75,5/23/2016
4552e7e2-4d06-4495-9c12-07eb83ad3f31,6/2/2016
4576bf8b-c58f-43d0-abe6-6119dee3b4a5,5/24/2016
45a75a14-bd84-4b78-a7ab-74f4911bcd30,5/15/2017
45aaec21-0626-4c9e-9fef-73d9569136a1,7/9/2016
45f33347-c683-42fe-aa07-266331d6cd7c,4/7/2017
45f4fe9d-9d29-4751-b219-2b11bc231367,4/29/2017
46042174-7c02-4bff-841e-9865f2c421a1,5/24/2016
46432cfe-dc9e-49bb-ac97-e7eba6dc50e9,9/21/2016
464c8ded-1543-4520-a181-3224fdae0571,8/9/2016
46764c41-73f1-4ef4-93e9-a773de8c8c47,6/18/2016
46766e74-9ac9-4177-b6f9-a2aa3d4a7e0d,4/10/2016
46aba212-e04b-4f94-a486-6ffd6f5c1158,2/13/2017
46c4b8ab-3841-433e-8295-ca4a414b62da,11/22/2016
470fec70-e206-4780-96a4-f0e4aa563697,2/23/2017
479e0d68-a6d8-4830-bbb8-b560b08e1e8b,1/24/2017
47a7f0a9-296e-436e-ba7f-0bb4d00be3d2,5/20/2016
482fac59-83d3-4047-be1b-6c0877ca5013,1/20/2017
487cc01f-325f-4054-bf87-3e060f79fae9,9/26/2016
48d5c7c8-963b-41c4-983f-3c917b43772c,1/2/2017
48e2258f-7d59-4fdc-8ca4-606f80ab1e8e,10/21/2016
48f5d013-b6bb-4892-9600-34c18e469e60,5/7/2017
49659c45-6c64-4ece-b32c-ec4c2f880280,4/11/2017
498a3901-1988-4f7e-92b2-982033049122,6/3/2016
49c341fb-152d-43c5-9d0a-7a1bf5911a5e,7/18/2016
49d71180-ae65-4aea-866f-903267d0f7a7,8/19/2016
49e0e112-2858-4946-bc2b-1badc3c49db5,3/10/2017
4a1072f7-e328-4220-b77e-5012a864e57c,7/18/2016
4acaf124-c594-4c9c-b089-1f068cb44f6a,1/9/2017
4ad35116-4ab4-4362-945b-02820b10c49c,10/24/2016
